source_name,title,description,url,published_at,fetched_at,country,category,domain,language,social_image,source_system
Google News,"United flight from SFO reports possible drone strike at 3,000 feet - San Francisco Chronicle",,https://news.google.com/rss/articles/CBMihgFBVV95cUxPY1NYWkpuR1hJaTQyMWw5VnpkRUdwQkROWkotWHlGOEpiQzlwSms4Y3V0SU13cUpiU05iOXpGWDZjSUdTeFYxaDF5VWI2ZUpERUdUbm1WeDBkaXlYalVDVExPTmVHWDQ0QlpzTUwwZTNHdjE5N2NNeEdpVk9sUkdNSEI4SF9mUQ?oc=5,2026-04-30 03:07:56,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,"Powell to remain as Fed governor, denying Trump a key vacancy - Axios",,https://news.google.com/rss/articles/CBMiZkFVX3lxTE9aTVR5bmgyanFFNFZxR2lVRl9aQTZKRVRxbllaTld2U1VyVGRWU0NPd2lVaXVDLTc4RjhXakdKZDIyS3BFd2pFQnotSmZ3UnNrYUJsYks0UWZpSi1jdnUyNzBzbmxvUQ?oc=5,2026-04-30 03:05:19,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Scoop: Commanders to brief Trump on new Iran military options Thursday - Axios,,https://news.google.com/rss/articles/CBMigAFBVV95cUxQUlV0Y0pnY1poRWJvbTZkOXdoVVpqRDRmS2J2X1NzUkNuSFpqUlpCaU5OWXZUcXZxdWZQY3MxSXlxZWU5NTJaelo2R0xHLVhxVkNrUmJnSDRiN2VCZVZEekRaUERrM2llcnhNcUY1bm9xTVhIcTBXV1NqRWhjVWdkSw?oc=5,2026-04-30 02:29:35,2026-05-01T03:11:22.338056+00:00,Iran,broad_news,Unknown,en,,NewsAPI
Google News,"D4vd allegedly amputated teen's finger tattooed with his name as part of 'horrifying' attempt to cover up crime: Prosecutors - ABC News - Breaking News, Latest News and Videos",,https://news.google.com/rss/articles/CBMipwFBVV95cUxQRnlodTQtM3VLUERCZ1BQX3FES1p3VEtlNjN2aFpSRWgtWVJ2VXJaaWNvY3I1bFlnSERtQk5KVEhrWVlwLS14RXU0dmJWd1NaaWVfamt5emNvdUdBMThQeXRRSDlOZTdyQmcyVm9EUlV4dURpZXFyZlBLalBJempSbHA0SVFiWmxwQmxJWERZa2YxYmVnLWh2QjBoYzVYV1RWUkRLSThWUdIBrAFBVV95cUxNN2VnMWkyMkF0ZHd1aDBnM0s0RXVyX2tyUldPeWd4TWxOYk1JS3pDV2Z0SHVuNDczVE5QanlNQndVX2F5RW5RNHdsSS01ejRJX3d1dzBHakZnYzFVSGxUQy1kOUtPQ1BhNW9kNjJBUHVianFDa0EtWGFWOWU4cDFGWUhjeU5oWUxEMmY5aUpVTW93MnNxM2RMdWFQa011bGZOM0d6VnVDN1dNcHlS?oc=5,2026-04-30 02:05:38,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,"Brown University shooting suspect driven by ‘accumulation of grievances’, FBI says - The Guardian",,https://news.google.com/rss/articles/CBMijgFBVV95cUxPSGlFdUhJbDgtZUJTb3E0SncyblhWSG1qOUJ2eUM0WWRoR2FkME1GUlg4RGpibzBJM2tpQjRjTk1CU0hzSEtXWEpQTnJCTm9WV0hBekw1YWxvV3BVa0hMY3l4YUs5QTdmR0tGNVFLSVpncG5ScHFiTHJINjdwb3NxdnQteGtGTndQM2w3UzN3?oc=5,2026-04-30 02:00:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,"Super Mario Galaxy 2 1.4.0 update out now, patch notes – includes new story in story book - Nintendo Everything",,https://news.google.com/rss/articles/CBMiugFBVV95cUxQVjk1RG1DcnRQZzNzNnRFNW04U0o3VjRQczliU2hnbk9KQkxJN3FzZks0ai1ZZUxSSjZ0bFJmcnN6MGszYlBOdnZRMWtoT1RHaEpVYmNPTG5fR3FqT3pyUndLVlVLZTlUV0Rva1pJMHhGY2lEUTlHcWJBYjRoQTlmTUo3M21CLWNkVnUySVlIeFlVQnZKNll0aGlkM3FMTWlycEMyVUJTenFBZnVBMWJ5X1A0WUhhcGRqQkE?oc=5,2026-04-30 01:22:43,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,U.K. investigates attacks on Jewish targets for possible links to Iran - The Washington Post,,https://news.google.com/rss/articles/CBMimAFBVV95cUxQTV9CYTFTMnZ0VGhSNUFCSWh6cmF2OFg5VXdvcmNmQ3VKVktFckZjdTdCVVN0WjZwR3FpRFMtMUpZMEFGSFRmMG0wQXNQTWxEb1ZyV08wbGtPcjRaaEsyTFJJQ19ZQVVXelhPaTBfR1doQTZXQjI3U0F0VnZQUXlsaXFEV0VoTEJjMFpQTWhIbU1hWjI4Y2hmRw?oc=5,2026-04-30 00:50:10,2026-05-01T03:11:22.338056+00:00,Iran,broad_news,Unknown,en,,NewsAPI
Google News,'86 it': Restaurant workers say the term at the center of James Comey's indictment is 'everyday lingo' - NBC News,,https://news.google.com/rss/articles/CBMinwFBVV95cUxQd1pzLWRaZjktX1MwX3NmOF9RWGtYSmU4Z0VJOTZCaGlWN2ZDT3J1UmZYRDhhRkdLbWxFRUptSnBKZGpNaGlSVXpYRjVNVzZKeHVyd0tyd2ZQRV9BcE54cDhfUFdiWEFuLWNVQzdNTlpCTFJ0Vy1Ka1RhVG0xenIwZTJMN2RsLUdiTndyMDhlUUhGTjhUbS1IUU1NVEdlN00?oc=5,2026-04-30 00:15:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,YouTube Bringing Free Picture-in-Picture to iPhone Users Outside the U.S. - MacRumors,,https://news.google.com/rss/articles/CBMifEFVX3lxTE15Nk1fTXhyRjl6aG53SWtnTzdoLWNrMFZ3MEJhMFZZVjNiQ2ZxUmdvWmVlamhkQ2xDMFZnZFZVVWo4anNVeHF5dG5vSk1tc2l5Tm5GcHZHOElPWDBRZkw1RW5kVmc5M3dQcDhOVnB0dnVKMHJJRHJiSWY4TFI?oc=5,2026-04-30 00:01:14,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,"Rockets vs Lakers Prediction, Picks, Odds for NBA Playoffs Game 5 Tonight 4/29 - Action Network",,https://news.google.com/rss/articles/CBMiugFBVV95cUxQa2ZJRDJzTnhoaGRndWkwaXUyRXZJQTRSYkk1bTFfaDdHRHhZRm5OdmkwRS1wVUJFUUdXQXA4WGZqTHg4MVp3QUt6V0VYV2FoVmJ5Z2VCZGcxbDhmTEIwcGJ2WEZMRFJfWS1mVUtpV3BBRm9yaEhQS0FTM2xQblJhOWlEWElzRXY1cE1GakhnaUduTFRGNjEwcWZhcGRfaF9BZWhsdzJZY005RzU5Z1piRnAzZEJQNzl4b3c?oc=5,2026-04-29 23:58:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Takeaways From Hegseth’s Testimony on Iran War and His Tenure - The New York Times,,https://news.google.com/rss/articles/CBMijwFBVV95cUxNcXJYVk8xRHZiLWtKYXpYMEFzTXREOUs5OUs3TWl1WUhGTUpMQzgxRTZYUF9sSGFqa0FmNmJOYTdLNEo2RmkweW1rRndMc2JPbXNVLXJiTDh2Q3Q0QzUyTzhSWGhqWk5nOWdmYUlyQnFvS2M2UGQyV1B1SkV0azVIcTB3VWJvaHFzZ2hmV2xLOA?oc=5,2026-04-29 23:56:13,2026-05-01T03:11:22.338056+00:00,Iran,broad_news,Unknown,en,,NewsAPI
Google News,Satya Nadella says he’s ready to ‘exploit’ the new OpenAI deal - TechCrunch,,https://news.google.com/rss/articles/CBMimgFBVV95cUxPN29oRXRtQUd4ckU2LXByV1A5eVczUG0wWXN0OXV6MFV1OS1ZQVJXN0VOVldjUFFRUWc2TmpZVjVRV3g5LVU4Yk4wY3RTdFMtSmstQ1BtTnFrRnEwOWJVYUkteFgyNUFXVExfQ24tWUdDYWVNZlJFVDJhUWpaWHU0ajU1bm1qVHJFNWZFdl9VVnhpN2NBX2RQNkJ3?oc=5,2026-04-29 23:55:23,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,They Left for the School Bus. ICE Picked Them Up Instead. - The New York Times,,https://news.google.com/rss/articles/CBMijwFBVV95cUxQVzlES0JWNWdVWkd5YzcwSTNoYVNIYVFmRUlzMm5aRzBsaEFtNjdCZG1QbHRuWW96ajlzSWhHbGs1enptT0dhaEh5cHp2OFBJTmNfMnJ5REFzUjN6YUFkWE5HZldnenNtZUZ4VUI0NnVLOVJELWZsa2R6WkJhd3ZGYWs3Sy1RaGlDX1ZBRnVESQ?oc=5,2026-04-29 23:45:50,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Supreme Court limits key provision of the landmark Voting Rights Act - The Washington Post,,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQa3E1X0VGQ3B2b3hNX0E0SHNkUkpvV0ZmRXYzc0ZhRUFmLTRiSlB3YUttVVdGS2lMaGZPdmdZaFo4MU8tZ3NHa09DN1RpbTJkSGJRcjNFUEZWZEY3dWdVYkNvNExSZ1kweGpXa2hCdEdveWRBRmtIYTVCT0JGWHd5ZjNiQkhuV05FcW9WNGlxZ1NaVl9RVzhOdVJ0WU1vb1dkQmtmVXM1ZUQ?oc=5,2026-04-29 23:38:47,2026-05-01T03:11:22.338056+00:00,United States,broad_news,Unknown,en,,NewsAPI
Google News,"Classic PS1, PSP Tales Remaster Leaks, But It Might Be a Nintendo Switch Exclusive - Push Square",,https://news.google.com/rss/articles/CBMivAFBVV95cUxNdzl6WlhDeDZnTnNaWjExVV9UcU1OMjRkYzl2LUMzY055X1RuMTRjcmNYYkFudk5iVUQ0Zkd2TlViZW5iWE1JN2ktVEttcTlCck9aR1FldTZEbDExTkNwNExhN3dZMVBvNzZGYW5OSW1rWU9IMnVoWGpIYU0wd0tfSVFSZjNIQ2ppMkY5SlVISnQ1MDR3TzJXR1RaN3J5WGtmaWREbUFqVk0tX0MybFZDVkxReFk4bjJxOGVMWg?oc=5,2026-04-29 23:30:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,"Alphabet Sales Beat Estimates on Google Cloud, AI Customers - Bloomberg.com",,https://news.google.com/rss/articles/CBMirgFBVV95cUxOMnZEMFh1OGdLSnFjUmRWTmdwdm9NSk9VYUJvd0lnckRTa3Npdk9VTlJzb0VQUnBKN21mR2hjNkFQclFfdzgwb0p0TWlUbkcweWx6VWxjY1lXOXhBTkQtcExZdHpvaTV6c1B0eWxTYWtrV3QxTGU2dlh4dEhNVmhabjE0UFF5QzFPRFBtOWhqS3I3Z21fbzJ3Y2xXRDFaYzBpSThHOHhaakpzampWVmc?oc=5,2026-04-29 23:22:11,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,"Amazon tops cloud expectations on strong AI demand, shares rise - Reuters",,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPUk9JdVVkT1VwYXNEM3Fqc1FXSHpRZ19neTZBTHZleG1jVFQ4ZVAtbTRGT0JGOXBKa3QtdmNvY3JDTGl5NEc0U2U0dHlUYWlBYjJIcmhvY1B2cjFEUDEweDJGbjJsbGVjbDRONkFCTjJ4SHN3MGFXcFJSa1JFTmhMZXdZb2VpR0ROR3JMR0tOY0RJZnFOUmNOcGRPNkVLa0pfQ3RQZHI5NXl2QQ?oc=5,2026-04-29 23:12:01,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,"Microsoft Reports Strong Cloud Growth, but Questions About AI Returns Persist - WSJ",,https://news.google.com/rss/articles/CBMilgFBVV95cUxNdmRJQkJzYzc5SHI0bFlpWDQ4V3g0X0tmOWFWSlJuZFZ1a0d1bzZuMFIxN0lON2twMVhfRlZfR1ExQjJuWGdqVWVyWjBYX01XU3hzSVkydDZURE0xTkZzc0dFU285VHlFTmVweUF5VWNBOFotMlFSd3BibDRrVlB3MWFmbVZDMm4ycFdGM05Ob3k4a2NZeFE?oc=5,2026-04-29 23:05:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,LeAnn Rimes cancels upcoming shows citing 'severe illness' months after $10K blood-cleaning treatment - AOL.com,,https://news.google.com/rss/articles/CBMihAFBVV95cUxPY1pzcXZWYUVHRUVHMVhfU3VoOW0wakYwT0F6ZU5xT0EtWHUySWpUMmpmNW9OcjFPazlBU1oxd1hVdWRIb1BPaC1QQTg1WHo4M0lBRWcyNHlfWTdoRDc1VnE5VDlHSThBaktxeDVWMkRZWUpvWHlUcUdwbDFvcTExSjU5M1Y?oc=5,2026-04-29 22:51:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Timmy the whale rescue attempt begins off coast of Germany – in pictures - The Guardian,,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQSTMzaTJUNF8ta0hqZzhGczUzY2pDTENId2xUdVVNWHRNcVBsaFp0TFJGUXpucWw4NXhOR2dPZ0RsbW1KMDFoNVdFUzJPZ0szWVBnRTdVXzRKS2htdnhYY2M4MGxrNEFEb3I2R0ZDYmdBeTdtd2lTX3dwVnJyRktJYnN1UUhsY0JwOWJmVXJZVWdtZGx5UHp4TlJOMmNWRXZtTmcxemdwMmdvNkhXRGw4U3RlVExpbHdo?oc=5,2026-04-29 22:47:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Alex Cora in email to entire Red Sox organization: ‘Disappointed we didn’t finish the job’ - MassLive,,https://news.google.com/rss/articles/CBMiywFBVV95cUxQZWpBMHJ5UUdkU3dJNmE2NEp5X29PbmcxWGUzUFNPdzJQMXFMSnJmNkFDNm1wUG93RndiZ1AtaGFkOVhUX1o4ZlN1VmJIOWh4YXdiV05VRkpnQWpYVkxpM2NSVHNkUEJoS0R5MkdiZndBUThGa2d1dFFZMkI4V0FNMmRaa29IYnotcDVObV9jd2ZLcjZCVml0OFRzYzVqVWlkT0tVbHF0enVHZDhScWRHbHU2WkJHM09qQ2RnMVV4R3dDbS1IUW9HRXlaZ9IB3wFBVV95cUxNM0sxMWtjTkRpX3hzQ2l2cDdyNU5zdXBLTG85SU1jZG80VklvVzdVLWRkSUhRbktEdE9KRkdWUjNtZWY5S3llSVRxbnU0dlRENG1NTDB1NkROalFJYmhTbU5OanZYQnUxSUJBYjh1cmZtd19QdHQ1bGs1OXBzNDlfeUtYWFRsVF9HcHY2ZEdOaF9pYlVjRUZ2UjhabjFxTDZaRGhKWnQ1a0NTZm1EWElQbldOU1ZfOVc4V1lwd0RKckVTUXhFUU04SjkxVWI2R1pJOUprSVhtZExiMk02cVE0?oc=5,2026-04-29 22:47:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Microsoft Expects Headcount to Decrease in Coming Quarters - Business Insider,,https://news.google.com/rss/articles/CBMimgFBVV95cUxNeVYtZEx2a05VZWt0WmgzVG5fT0c2OFNxRUhFeHZZb251SE1CdFFCanROWXl0b3F4S29weWdBRmNldmQyeTBmNkRVUjdKNEdTWUZlbHBicGtncjJtQmRlNno4RTNVaTd5czBUN2NTRTVVLUhaQnJEa2ltaURqMjhSeTV3ZzVIdjQzMFN4bV9xSVZiU0RsNzFONnJn?oc=5,2026-04-29 22:36:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Color. Design. Innovation. Introducing our new era of expression and possibilities. - Motorola News,,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPRFNQX2xGdm5DeDJsUXpSZjRBb0lQMWFkSGFVU0RkbkU1OEJoNXU5eUktcVkyeWRoYjFBZEhDeEQxSEZ4TDJ1S3dNMkpWOGM3UEMzaVY5cDZReG5BZVJmbHpqQm1JNVo3c3hpZ1JKSm85V2tYbmswc1VmMnBBLTlGSTZvRUVFZW5laFRjczVSbGxnY0huMldkV0pOTkN1b29OS0dtYU8yS3o?oc=5,2026-04-29 22:18:53,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
